genes,Entry,Entry Name,Protein,Gene,Organism,Status,GO-Biological process,Biological process,Molecular function,Ligand
VANGL1,E1BNR7,E1BNR7_BOVIN,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,Bos taurus (Bovine),Reviewed,cellular potassium ion homeostasis Gaudet P. cellular sodium ion homeostasis Gaudet P. potassium ion import across plasma membrane Gaudet P. proton transmembrane transport Gaudet P. regulation of sodium ion transport sodium ion export across plasma membrane Gaudet P.,"Ion transport, Potassium transport, Sodium transport, Sodium/potassium transport, Transport",Translocase,"ATP-binding, Magnesium, Metal-binding, Nucleotide-binding, Potassium, Sodium"
NGF,P13600,NGF_BOVIN,Beta-nerve growth factor,NGF,Bos taurus (Bovine),Reviewed,memory Gaudet P. modulation of chemical synaptic transmission Gaudet P. negative regulation of neuron apoptotic process Gaudet P. nerve development Gaudet P. nerve growth factor signaling pathway Gaudet P. neuron projection morphogenesis Gaudet P. peripheral nervous system development Gaudet P. positive regulation of collateral sprouting Gaudet P. positive regulation of peptidyl-serine phosphorylation Gaudet P. regulation of neuron differentiation Gaudet P. transmembrane receptor protein tyrosine kinase signaling pathway Gaudet P.,,"Growth factor, Metalloenzyme inhibitor, Metalloprotease inhibitor, Protease inhibitor",Lipid-binding
TSPAN2,A0A3Q1MJJ9,A0A3Q1MJJ9_BOVIN,Beta-nerve growth factor,NGF,Bos taurus (Bovine),Reviewed,memory Gaudet P. modulation of chemical synaptic transmission Gaudet P. negative regulation of neuron apoptotic process Gaudet P. nerve development Gaudet P. nerve growth factor signaling pathway Gaudet P. neuron projection morphogenesis Gaudet P. peripheral nervous system development Gaudet P. positive regulation of collateral sprouting Gaudet P. positive regulation of peptidyl-serine phosphorylation Gaudet P. regulation of neuron differentiation Gaudet P. transmembrane receptor protein tyrosine kinase signaling pathway Gaudet P.,,"Growth factor, Metalloenzyme inhibitor, Metalloprotease inhibitor, Protease inhibitor",Lipid-binding
TSHB,P01223,TSHB_BOVIN,Thyrotropin subunit beta,TSHB,Bos taurus (Bovine),Reviewed,G protein-coupled receptor signaling pathway Gaudet P. hormone-mediated signaling pathway Gaudet P.,,Hormone,
SYCP1,A0A3Q1MIB7,A0A3Q1MIB7_BOVIN,Thyrotropin subunit beta,TSHB,Bos taurus (Bovine),Reviewed,G protein-coupled receptor signaling pathway Gaudet P. hormone-mediated signaling pathway Gaudet P.,,Hormone,
SIKE1,Q0VCF3,SIKE1_BOVIN,,,,,,,,
CSDE1,P61286,PABP1_BOVIN,Polyadenylate-binding protein 1,PABPC1,Bos taurus (Bovine),Reviewed,"gene silencing by RNA mRNA processing negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay nuclear-transcribed mRNA catabolic process, nonsense-mediated decay positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay positive regulation of nuclear-transcribed mRNA poly(A) tail shortening RNA splicing","mRNA processing, mRNA splicing, Nonsense-mediated mRNA decay",RNA-binding,
NRAS,A6N9I4,GRP2_BOVIN,RAS guanyl-releasing protein 2,RASGRP2,Bos taurus (Bovine),Reviewed,small GTPase mediated signal transduction,,Guanine-nucleotide releasing factor,"Calcium, Metal-binding, Zinc"
SNX7,A0A4W2EPR4,A0A4W2EPR4_BOBOX,RAS guanyl-releasing protein 2,RASGRP2,Bos taurus (Bovine),Reviewed,small GTPase mediated signal transduction,,Guanine-nucleotide releasing factor,"Calcium, Metal-binding, Zinc"
MIR137,,,,,,,,,,
DPYD,Q28007,DPYD_BOVIN,Dihydropyrimidine dehydrogenase [NADP(+)],DPYD,Bos taurus (Bovine),Reviewed,beta-alanine biosynthetic process thymidine catabolic process uracil catabolic process,,Oxidoreductase,"4Fe-4S, FAD, Flavoprotein, FMN, Iron, Iron-sulfur, Metal-binding, NADP, Nucleotide-binding"
PTBP2,Q28141,DHX9_BOVIN,ATP-dependent RNA helicase A,DHX9,Bos taurus (Bovine),Reviewed,"alternative mRNA splicing, via spliceosome cellular response to exogenous dsRNA cellular response to tumor necrosis factor CRD-mediated mRNA stabilization DNA duplex unwinding Zhang S. DNA replication DNA-templated transcription, termination DNA-templated viral transcription G-quadruplex DNA unwinding inflammatory response innate immune response mRNA transport positive regulation of cytoplasmic translation positive regulation of DNA repair positive regulation of DNA replication positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity positive regulation of fibroblast proliferation positive regulation of gene silencing by miRNA positive regulation of interferon-alpha production positive regulation of interferon-beta production positive regulation of interleukin-6 production positive regulation of NF-kappaB transcription factor activity positive regulation of polysome binding positive regulation of response to cytokine stimulus positive regulation of RNA export from nucleus positive regulation of transcription by RNA polymerase II positive regulation of tumor necrosis factor production positive regulation of viral transcription positive regulation of viral translation protein localization to cytoplasmic stress granule regulation of cytoplasmic translation regulation of mRNA processing rhythmic process RNA secondary structure unwinding small RNA loading onto RISC targeting of mRNA for destruction involved in RNA interference","Biological rhythms, DNA replication, Immunity, Inflammatory response, Innate immunity, mRNA processing, mRNA splicing, mRNA transport, RNA-mediated gene silencing, Transcription, Transcription regulation, Transcription termination, Translation regulation, Transport","Activator, DNA-binding, Helicase, Hydrolase, RNA-binding","ATP-binding, Manganese, Metal-binding, Nucleotide-binding"
F3,P30931,TF_BOVIN,Tissue factor,F3,Bos taurus (Bovine),Reviewed,activation of cysteine-type endopeptidase activity involved in apoptotic process activation of plasma proteins involved in acute inflammatory response blood coagulation cytokine-mediated signaling pathway Gaudet P. positive regulation of angiogenesis positive regulation of endothelial cell proliferation positive regulation of interleukin-8 production positive regulation of platelet-derived growth factor receptor signaling pathway positive regulation of protein kinase B signaling,"Blood coagulation, Hemostasis",,
ABCD3,P02769,ALBU_BOVIN,Albumin,ALB,Bos taurus (Bovine),Reviewed,cellular response to starvation maintenance of mitochondrion location negative regulation of apoptotic process,,,"Calcium, Copper, Lipid-binding, Metal-binding, Zinc"
ARHGAP29,A7YY57,RHG29_BOVIN,Rho GTPase-activating protein 29,ARHGAP29,Bos taurus (Bovine),Reviewed,activation of GTPase activity Gaudet P. intracellular signal transduction,,GTPase activation,"Metal-binding, Zinc"
ABCA4,F1MWM0,F1MWM0_BOVIN,Rho GTPase-activating protein 29,ARHGAP29,Bos taurus (Bovine),Reviewed,activation of GTPase activity Gaudet P. intracellular signal transduction,,GTPase activation,"Metal-binding, Zinc"
GCLM,A5D7E9,NF2L1_BOVIN,Endoplasmic reticulum membrane sensor NFE2L1,NFE2L1,Bos taurus (Bovine),Reviewed,cell redox homeostasis Kwong M. Myhrstad M.C. cellular response to cholesterol Widenmaier S.B. cellular response to oxidative stress Kwong M. Myhrstad M.C. cholesterol homeostasis Widenmaier S.B. cholesterol metabolic process lipid homeostasis Hirotsu Y. negative regulation of transcription by RNA polymerase II Narayanan K. negative regulation of transcription from RNA polymerase II promoter in response to stress Widenmaier S.B. positive regulation of transcription from RNA polymerase II promoter in response to stress Kwong M. Myhrstad M.C. Radhakrishnan S.K. regulation of odontoblast differentiation Narayanan K. regulation of transcription by RNA polymerase II Gaudet P.,"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism, Transcription, Transcription regulation","Activator, DNA-binding, Repressor",Lipid-binding
DNTTIP2,P49884,ESR1_BOVIN,Estrogen receptor,ESR1,Bos taurus (Bovine),Reviewed,"androgen metabolic process antral ovarian follicle growth cellular response to estradiol stimulus cellular response to estrogen stimulus epithelial cell development epithelial cell proliferation involved in mammary gland duct elongation intracellular estrogen receptor signaling pathway intracellular steroid hormone receptor signaling pathway male gonad development mammary gland alveolus development mammary gland branching involved in pregnancy negative regulation of DNA-binding transcription factor activity negative regulation of I-kappaB kinase/NF-kappaB signaling negative regulation of production of miRNAs involved in gene silencing by miRNA negative regulation of transcription by RNA polymerase II phospholipase C-activating G protein-coupled receptor signaling pathway positive regulation of cytosolic calcium ion concentration positive regulation of DNA-binding transcription factor activity positive regulation of fibroblast proliferation positive regulation of nitric oxide biosynthetic process positive regulation of nitric-oxide synthase activity positive regulation of phospholipase C activity positive regulation of RNA polymerase II transcription preinitiation complex assembly positive regulation of transcription, DNA-templated prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis prostate epithelial cord elongation protein localization to chromatin regulation of apoptotic process regulation of branching involved in prostate gland morphogenesis regulation of inflammatory response regulation of toll-like receptor signaling pathway regulation of transcription by RNA polymerase II Gaudet P. stem cell differentiation uterus development vagina development","Transcription, Transcription regulation","Activator, DNA-binding, Receptor","Lipid-binding, Metal-binding, Steroid-binding, Zinc"
TRNAR-UCU,,,,,,,,,,
MIR760,,,,,,,,,,
BCAR3,Q58DL5,BCAR3_BOVIN,Breast cancer anti-estrogen resistance protein 3 homolog,BCAR3,Bos taurus (Bovine),Reviewed,endothelin receptor signaling pathway insulin receptor signaling pathway positive regulation of DNA replication positive regulation of epidermal growth factor receptor signaling pathway positive regulation of GTPase activity positive regulation of MAPK cascade positive regulation of peptidyl-serine phosphorylation Gaudet P. small GTPase mediated signal transduction,,Guanine-nucleotide releasing factor,
FNBP1L,Q2KJ93,CDC42_BOVIN,Cell division control protein 42 homolog,CDC42,Bos taurus (Bovine),Reviewed,"actin filament organization adherens junction organization cardiac conduction system development Cdc42 protein signal transduction Gaudet P. cell junction assembly cell migration Gaudet P. cell projection assembly Gaudet P. cellular protein localization cellular response to interferon-gamma dendritic cell migration dendritic spine morphogenesis endocytosis Gaudet P. establishment of epithelial cell apical/basal polarity filopodium assembly heart contraction integrin-mediated signaling pathway modification of synaptic structure Gaudet P. negative regulation of protein-containing complex assembly neuron fate determination neuropilin signaling pathway nuclear migration phagocytosis, engulfment positive regulation of actin cytoskeleton reorganization positive regulation of cell growth positive regulation of cytokinesis positive regulation of epithelial cell proliferation involved in lung morphogenesis positive regulation of filopodium assembly positive regulation of lamellipodium assembly positive regulation of MAPK cascade positive regulation of phosphatidylinositol 3-kinase activity positive regulation of pinocytosis positive regulation of pseudopodium assembly positive regulation of stress fiber assembly positive regulation of substrate adhesion-dependent cell spreading regulation of attachment of spindle microtubules to kinetochore regulation of filopodium assembly regulation of mitotic nuclear division regulation of protein binding viral RNA genome replication","Differentiation, Neurogenesis",Hydrolase,"GTP-binding, Nucleotide-binding"
